Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah
01/01/2015;2015;1;1;24,2;29;27;26,1;31,2;23,8;-;25;;981,7;86;53;76;75,25;2,5;CALM;4;135
02/01/2015;2015;1;2;24,4;30,4;26,6;26,45;30,6;23,1;9,2;30;;981,8;83;64;83;78,25;1,3;CALM;5;135
03/01/2015;2015;1;3;23,3;26,8;26;24,85;30;22,8;12,5;5;;981,7;89;53;75;76,5;3,1;T;5;90
04/01/2015;2015;1;4;24,2;30,2;26;26,15;31,1;23,8;9;45;;983,3;86;53;75;75;1,1;CALM;4;90
05/01/2015;2015;1;5;24,4;30;26;26,2;31;21,2;8,8;65;;983,6;81;56;73;72,75;3,8;T;6;90
06/01/2015;2015;1;6;22,4;29,8;26,8;25,35;31;22;-;45;;982,5;86;49;80;75,25;2,2;CALM;4;135
07/01/2015;2015;1;7;24,8;30,8;26,8;26,8;32;22,6;-;80;;983,5;86;53;77;75,5;1,8;T;2;90
08/01/2015;2015;1;8;23,8;29,8;26,6;26;32;22,4;-;60;;980,8;83;49;80;73,75;1,7;T;6;90
09/01/2015;2015;1;9;24,4;30,4;27;26,55;30,8;22,4;-;35;;982;91;43;72;74,25;2,8;T;6;90
10/01/2015;2015;1;10;24,2;31,4;26,3;26,525;33,3;22,2;-;65;;983,7;83;54;60;70;3;T;5;90
11/01/2015;2015;1;11;23,4;31,6;25,6;26;33,8;22,8;-;75;;980,7;84;47;70;71,25;2,1;S;4;180
12/01/2015;2015;1;12;23,5;29;27;25,75;31,6;22,6;6,4;40;;981,8;88;59;81;79;1,4;T;2;90
13/01/2015;2015;1;13;23,6;27;24,4;24,65;30,4;23;14;10;;983,1;84;51;67;71,5;2,9;S;6;180
14/01/2015;2015;1;14;23,8;29;26,8;25,85;30;22,8;20;35;;983;81;47;70;69,75;4,1;S;8;135
15/01/2015;2015;1;15;23,6;24,8;26,8;24,7;30,4;22,2;9,6;18;;981,4;80;50;70;70;1,9;T;5;90
16/01/2015;2015;1;16;23,6;30,6;26;25,95;33;22,2;14,2;75;;979,8;81;46;76;71;1,2;T;2;90
17/01/2015;2015;1;17;23,8;30;24,8;25,6;32,2;22,6;-;45;;981,5;91;56;81;79,75;1,1;T;2;90
18/01/2015;2015;1;18;23,6;27,8;25,2;25,05;31;22,6;21,5;25;;982,4;89;50;79;76,75;2,7;CALM;4;135
19/01/2015;2015;1;19;23,6;30,4;26,2;25,95;33,2;22,8;4;35;;981,6;88;49;73;74,5;2,2;CALM;6;135
20/01/2015;2015;1;20;23,6;28,8;26;25,5;32,4;22,8;13,3;5;;980,8;83;54;71;72,75;1,6;CALM;5;90
