Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah
01/01/2015;2015;1;1;22,4;26,6;25,8;24,3;27,6;20;0;16,25;;1012,2;89,84757117;87,0105253;86,84997203;88,38890992;0,529166667;45;04;50
02/01/2015;2015;1;2;22,3;26,6;25;24,05;27;21;0,3;21,25;;1013,1;89,86832871;80,03336088;83,06966329;85,7099204;1,5875;360;06;290
03/01/2015;2015;1;3;21,8;26,6;25,2;23,85;27;20;2,6;12,5;;1013,7;89,65569551;81,73294893;92,27172242;88,32901559;1,3625;360;04;300
04/01/2015;2015;1;4;20,6;27;23,2;22,85;27,4;20,2;-;18,75;;1012,9;87,75510862;85,30150786;92,03718125;88,21222659;1,075;360;06;160
05/01/2015;2015;1;5;21,4;26,2;26;23,75;27,8;20;-;56,25;;1012,4;91,82135155;81,65009448;85,09957343;87,59809275;1,529166667;360;05;360
06/01/2015;2015;1;6;20,2;27,6;26,3;23,575;28,2;19,8;-;85;;1012,3;85,74548465;80,31546993;84,28911244;84,02388792;1,741666667;360;04;50
07/01/2015;2015;1;7;21,6;27,6;27,2;24,5;29,2;20,6;-;87,5;;1012,7;89,8715823;75,38783387;85,34418825;85,11879668;2,2125;360;08;350
08/01/2015;2015;1;8;23,4;29,2;25,5;25,375;30;22,4;-;43,75;;1013,9;91,08375528;69,70705101;83,21808798;83,77316239;4,2;270;19;250
09/01/2015;2015;1;9;21,6;28,6;25,6;24,35;29;21;-;37,5;;1013,6;93,8346971;74,11439789;81,49603283;85,81995623;3,3625;90;06;100
10/01/2015;2015;1;10;22,8;28,8;26,4;25,2;30,4;20,6;-;93,75;;1012,4;70,89256822;69,54452944;81,69846171;73,2570319;2,954166667;270;23;280
11/01/2015;2015;1;11;22,6;27,2;25,2;24,4;29,8;21;-;62,5;;1014,4;86,18831638;83,59782143;92,27586183;87,062579;0,041666667;360;09;340
12/01/2015;2015;1;12;22;28,1;22,4;23,625;28,2;22;49,8;8,75;;1014,7;97,92784809;76,33449895;100;93,04754878;1,045833333;360;08;330
13/01/2015;2015;1;13;22;23,2;21,3;22,125;28,4;21;31;8,75;;1014,4;93,86705014;95,96132777;98,94925659;95,66117116;2,504166667;270;07;270
14/01/2015;2015;1;14;21,5;27;25,2;23,8;27,2;17,5;0,3;25;;1015,7;88,84861344;78,4280434;92,26095995;87,09655756;0,333333333;270;09;290
15/01/2015;2015;1;15;21,6;25,4;25,4;23,5;28;21;-;26,25;;1015,1;95,85591814;86,74741321;92,28564612;92,6862239;2,6875;45;04;70
16/01/2015;2015;1;16;21;28,8;23,6;23,6;29;17;-;25;;1014,7;86,83172723;74,13519915;88,26270847;84,01534052;1,420833333;360;08;280
17/01/2015;2015;1;17;21,6;25,8;22,6;22,9;27,2;20;1;1,25;;1014,6;89,85314531;88,63975817;93,93010516;90,56903849;1,95;360;08;330
18/01/2015;2015;1;18;23;25,4;23;23,6;29;21;13,5;18,75;;1014,5;91,9962466;92,28151903;97,95998497;93,5584993;1,541666667;360;06;360
