Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah
01/01/2015;2015;1;1;20,4;24,2;21,6;21,65;25,4;19,6;10,8;0; RA  ;913,41875;96,23223326;83,28131187;96,34877172;93,02363753;0,6;CALM;2;90
02/01/2015;2015;1;2;20,2;24,6;21,4;21,6;25,1;15,4;9;0;TS RA  ;913,70625;94,33774194;78,90084981;92,71129115;90,07190621;5,03125;CALM;2;45
03/01/2015;2015;1;3;20,2;22,8;22,6;21,45;25;17,2;1,2;0; RA  ;914,16875;92,4764762;86,46470636;91,19421696;90,65296893;2,25;CALM;6;90
04/01/2015;2015;1;4;19;25;20,4;20,85;25,4;16,4;5,1;6,3; RA  ;913,5625;92,22442855;87,99849908;94,36802241;91,70384465;0,875;CALM;4;50
05/01/2015;2015;1;5;20,4;24;22,8;21,9;26;16;1;0; RA  ;913,5875;96,23223326;74,60466231;89,52275339;89,14797056;0;CALM;0;0
06/01/2015;2015;1;6;20,2;25,4;22,6;22,1;26,4;17,6;-;37,5;   ;913,44375;85,15901269;75,93974322;82,69573634;82,23837624;2,25;CALM;2;90
07/01/2015;2015;1;7;19,8;26,8;24,3;22,675;27,2;17,8;-;30;   ;913,0875;94,2760986;76,80336505;84,20279345;87,38958892;7,25;CALM;5;210
08/01/2015;2015;1;8;19,6;25,8;23,6;22,15;27;17,2;1;22,5; RA  ;914,03125;92,35270429;76,48832784;87,22640772;87,10503604;1,1;CALM;4;180
09/01/2015;2015;1;9;20;26,4;23,8;22,55;26,9;17,1;-;26,3;   ;913,475;85,07812468;73,29866298;84,8267666;82,07041973;2,75;CALM;5;40
10/01/2015;2015;1;10;20,5;25,9;23,2;22,525;28,2;18,2;10;0; RA  ;913,53125;86,17487207;64,97292864;87,93956874;81,31556038;1,125;CALM;2;180
11/01/2015;2015;1;11;20,4;24,4;23,4;22,15;28,2;18,6;1,3;35; RA  ;914,51875;94,36802241;63,8165611;86,33255909;84,72129125;4,46875;CALM;6;90
12/01/2015;2015;1;12;20,4;22,8;23,2;21,7;24;18;25,8;2,5;TS RA  ;914,19375;96,23223326;91,23795895;89,62573607;93,33204038;1,625;CALM;5;80
13/01/2015;2015;1;13;20,6;21,8;20,4;20,85;23;18,8;21,6;6,3; RA  ;915,25;96,25222619;96,34877172;97,1692343;96,5056146;1,5;CALM;5;60
14/01/2015;2015;1;14;20,8;23,2;21,6;21,6;24,5;17,8;1,8;13,8; RA  ;915,66875;96,27198665;86,39900394;92,748857;92,92295856;1,125;CALM;2;180
15/01/2015;2015;1;15;20,8;23,7;22,2;21,875;25,4;16;-;0;   ;915,14375;96,27198665;70,75764307;84,21271046;86,87858171;3,9375;CALM;4;90
16/01/2015;2015;1;16;20,2;23,4;20;20,95;26,2;16,6;99,3;34,4; RA  ;915,34375;92,4764762;87,99849908;96,19153602;92,28574688;1,6875;CALM;4;90
17/01/2015;2015;1;17;20,4;22;21,2;21;23;19,6;31;15; RA  ;914,8;98,10951906;94,42752755;91,77186298;95,60460716;1,125;CALM;3;180
18/01/2015;2015;1;18;20,6;22,4;20,4;21;23,4;19,2;60;0;TS RA  ;915,325;98,11953659;92,89487225;96,23223326;96,34154467;2,25;CALM;6;90
19/01/2015;2015;1;19;20,6;24;21,9;21,775;24,2;19;90,5;0;TS RA  ;916,40625;94,3979492;91,32397104;93,69272823;93,45314942;2,8125;CALM;6;90
20/01/2015;2015;1;20;19,9;23,8;21,2;21,2;24,8;18;14,6;0; RA  ;917,49375;96,1812109;96,38585608;94,48565941;95,80848432;0;CALM;0;0
21/01/2015;2015;1;21;20,6;23,8;22,4;21,85;24,4;18;2,7;10; RA  ;918,24375;94,3979492;92,96541688;96,42210202;94,54585432;1,6875;CALM;4;90
