Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah
01/01/2015;2015;1;1;21,9;27,2;24,8;24,0;27,6;21,6;0,5;27;;944,6;93,69272823;64,5274244;75,82634318;82;4,0;120;12,0;160
02/01/2015;2015;1;2;22,1;27,4;23,8;23,9;29,0;21,9;2,1;29;;944,8;95,50173437;62,67360318;85,64427503;85;3,0;120;12,0;160
03/01/2015;2015;1;3;21,4;26,7;24,1;23,4;27,2;21,2;0,8;1;;945,3;93,61117023;73,23729939;82,51848187;86;3,3;160;9,0;160
04/01/2015;2015;1;4;21,0;25,9;24,2;23,0;27,8;20,0;0,0;72;;944,4;92,63484041;74,21605851;81,76217324;85;3,4;0;9,0;160
05/01/2015;2015;1;5;22,0;27,0;23,8;23,7;27,4;21,9;0,9;40;;944,4;94,59796265;68,49192877;79,98236603;84;3,8;160;10,0;160
06/01/2015;2015;1;6;19,5;27,1;24,4;22,6;27,4;18,8;0,3;45;;944,2;87,64521032;61,08845477;81,84893987;80;3,5;160;9,0;120
07/01/2015;2015;1;7;21,4;29,9;24,8;24,4;30,2;20,0;0,0;94;;944,5;89,14322384;54,78661811;77,35811516;78;4,0;160;16,0;160
08/01/2015;2015;1;8;21,6;28,6;24,8;24,2;29,4;20,8;0,0;50;;945,9;89,19933287;62,97955687;82,01960357;81;4,1;160;15,0;160
09/01/2015;2015;1;9;20,5;28,3;25,7;23,8;29,4;19,7;0,0;60;;945,4;89,7912894;59,51842371;78,5801673;79;3,6;120;12,0;160
10/01/2015;2015;1;10;21,6;28,6;25,6;24,4;30,3;20,5;0,0;88;;944,6;86,56971085;58,5114972;82,3498311;79;3,7;160;11,0;120
11/01/2015;2015;1;11;20,8;29,0;25,0;23,9;29,8;20,5;0,0;72;;945,6;78,392828;59,48635495;85,25239155;75;3,2;70;11,0;70
12/01/2015;2015;1;12;21,6;26,2;25,4;23,7;28,0;21,0;8,2;18;;945,9;90,96785328;72,21130697;83,82274073;84;2,5;160;7,0;70
13/01/2015;2015;1;13;21,6;24,6;22,6;22,6;25,8;21,3;7,8;13;;946,0;96,34877172;84,31464534;92,93034483;92;2,3;120;8,0;30
14/01/2015;2015;1;14;22,0;27,0;24,4;23,9;27,9;21,8;15,2;31;;947,7;94,59796265;69,88577261;83,4403162;86;3,2;160;12,0;160
15/01/2015;2015;1;15;21,7;22,5;24,4;22,6;26,8;21,1;0,1;32;;947,2;94,55645413;92,04086324;78,70007328;90;1,8;160;14,0;160
16/01/2015;2015;1;16;19,6;28,1;24,3;22,9;28,7;19,2;5,7;88;;946,5;86,75416447;63,23724897;81,80567756;80;5,9;160;10,0;160
17/01/2015;2015;1;17;21,2;26,6;24,6;23,4;27,6;21,1;4,5;51;;946,4;96,31082388;71,03320932;85,11365227;87;2,4;160;7,0;160
18/01/2015;2015;1;18;22,0;25,9;23,4;23,3;26,8;22,0;2,0;19;;946,3;94,59796265;76,4348146;91,36625533;89;2,9;160;8,0;160
19/01/2015;2015;1;19;22,4;22,8;25,0;23,2;27,0;22,0;13,5;33;;947,3;92,89487225;86,12866023;76,70060892;87;2,2;120;7,0;120
20/01/2015;2015;1;20;21,2;27,2;22,6;23,1;27,6;20,9;28,1;5;;948,2;92,67328779;68,63072556;88,61303527;86;1,9;70;7,0;70
21/01/2015;2015;1;21;21,5;27,8;24,2;23,8;28,2;21,3;4,4;25;;949,8;93,6276705;58,43361996;88,22771847;83;2,0;70;4,0;70
22/01/2015;2015;1;22;21,1;26,1;21,8;22,5;28,3;19,8;0,0;50;;949,2;82,883763;75,06657573;96,36742024;84;2,3;120;5,0;70
23/01/2015;2015;1;23;20,2;28,2;22,0;22,7;28,6;20,0;22,6;58;;947,7;92,4764762;65,29003749;96,38585608;87;1,9;120;8,0;30
24/01/2015;2015;1;24;20,2;27,2;24,1;22,9;28,2;20,2;61,2;75;;947,7;94,33774194;74,24149006;84,93585065;87;3,8;160;10,0;160
25/01/2015;2015;1;25;21,4;28,6;23,4;23,7;29,0;21,0;0,0;56;;947,7;90,92099633;64,27699106;93,92388985;85;2,8;160;9,0;160
26/01/2015;2015;1;26;21,9;27,2;25,7;24,2;28,5;20,7;2,9;58;;946,4;91,03713155;69,32324937;86,26948301;84;2,2;70;7,0;30
27/01/2015;2015;1;27;22,2;28,8;24,8;24,5;30,0;21,3;1,5;74;;945,9;91,10522477;66,38256756;82,01960357;83;3,7;160;12,0;160
28/01/2015;2015;1;28;21,3;28,8;25,4;24,2;29,2;20,8;0,0;84;;945,2;89,11492419;67,03908972;80,72567797;81;4,5;160;10,0;160
29/01/2015;2015;1;29;20,9;28,2;21,6;22,9;28,8;20,7;0,0;65;;945,0;88,10406819;69,3027736;90,96785328;84;3,6;160;13,0;160
30/01/2015;2015;1;30;22,4;27,8;23,4;24,0;28,6;21,2;33,8;50;;945,8;93,77197925;70,40732593;88,83593346;87;2,9;160;9,0;160
31/01/2015;2015;1;31;20,6;24,8;22,0;22,0;28,1;20,2;11,6;25;;945,2;96,25222619;85,18340451;96,38585608;94;2,2;160;8,0;70
01/02/2015;2015;2;1;21,0;25,3;23,4;22,7;27,4;20,2;7,5;41;;947,1;92,63484041;78,38201638;93,06828757;89;2,1;90;7,0;90
02/02/2015;2015;2;2;21,8;25,1;24,7;23,4;26,3;21,1;5,3;15;;947,6;93,67660391;80,59128267;82,76586414;88;3,4;180;12,0;170
03/02/2015;2015;2;3;20,8;28,4;23,0;23,3;29,4;20,0;14,9;91;;948,2;86,28509092;61,52824341;94,73130515;82;3,5;180;14,0;180
04/02/2015;2015;2;4;20,6;28,4;23,0;23,2;29,4;20,1;0,6;70;;947,8;89,81850093;64,78024789;93,00009422;84;2,8;180;12,0;30
05/02/2015;2015;2;5;20,6;28,2;21,5;22,7;28,8;20,4;31,4;58;;947,2;96,25222619;70,65985702;90,94449261;89;1,9;130;6,0;80
06/02/2015;2015;2;6;21,4;28,4;22,3;23,4;28,4;20,6;47,1;48;;947,2;96,32990733;66,75981988;86,80814194;87;3,2;180;12,0;180
07/02/2015;2015;2;7;20,2;28,2;22,0;22,7;28,4;19,0;5,3;72;;946,6;79,80163422;66,61794986;94,59796265;80;1,8;130;9,0;90
08/02/2015;2015;2;8;21,0;28,5;23,2;23,4;28,8;20,8;30,7;93;;947,8;92,63484041;68,15900758;91,32397104;86;3,7;90;12,0;180
09/02/2015;2015;2;9;21,2;28,6;24,6;23,9;28,8;20,7;2,0;81;;948,1;90,8735929;64,27699106;83,51850038;82;4,2;90;18,0;80
10/02/2015;2015;2;10;21,2;28,5;22,6;23,4;28,6;20,9;5,5;50;;946,6;91,77186298;64,20127056;94,67887453;86;2,0;130;4,0;130
11/02/2015;2015;2;11;22,4;28,0;22,0;23,7;28,4;21,4;8,0;35;;945,5;91,1499747;71,90722917;95,49032315;87;1,9;90;7,0;90
12/02/2015;2015;2;12;21,2;22,6;23,1;22,0;27,3;20,6;65,1;21;;945,2;92,67328779;91,19421696;90,44991146;92;2,0;90;8,0;100
13/02/2015;2015;2;13;20,8;26,4;23,3;22,8;28,4;20,2;7,0;50;;944,7;87,17726187;75,2346477;89,65112026;85;4,0;40;14,0;50
