Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah
01/01/2015;2015;1;1;26,1;34;26,5;28,175;34,2;25,6;21,3;63,75;;1009;84,0782429;54,41817951;87,28417611;77,46471035;7,625;300;25;190
02/01/2015;2015;1;2;26;32,7;24,5;27,3;33,4;24,2;38;75;;1009,2;89,49542919;58,89628368;95,75715235;83,4110736;9,208333333;300;16;320
03/01/2015;2015;1;3;26;29,8;28,4;27,55;30,8;25,6;1;0;;1010;87,14137534;81,07597081;80,52370981;83,97060782;7,333333333;300;14;290
04/01/2015;2015;1;4;26,3;33,4;30,2;29,05;33,7;24,8;17,1;91,25;;1009,1;84,91479263;57,19764321;70,54503961;74,39306702;5,333333333;300;14;320
05/01/2015;2015;1;5;25,9;34,4;26,8;28,25;35;24,8;29,1;91,25;;1008,4;91,85710333;53,68666285;93,59105402;82,74798088;4,583333333;10;16;150
06/01/2015;2015;1;6;25,8;33,5;29,8;28,725;33,6;25,4;-;58,75;;1008,5;87,08316949;47,66607821;70,30680463;73,03480546;6,333333333;300;12;350
07/01/2015;2015;1;7;26,4;33,7;31;29,375;34,4;26,4;-;93,75;;1008,6;75,2346477;55,24880453;72,28724043;69,50133509;7,833333333;300;14;320
08/01/2015;2015;1;8;27,6;34;31,2;30,1;35,4;27,2;-;86,25;;1010,1;74,46474212;56,57253153;71,75610541;69,3145303;8,083333333;300;18;310
09/01/2015;2015;1;9;27,7;35;30,3;30,175;35;26,9;-;62,5;;1009,6;71,0331323;37,52714733;69,31508989;62,22712546;9,583333333;300;14;330
10/01/2015;2015;1;10;28,9;34,8;30,8;30,85;35,6;27,1;-;100;;1009;58,77389743;46,38431709;72,17859456;59,02767663;9,875;300;16;330
11/01/2015;2015;1;11;27,6;33,8;30,2;29,8;35,8;27,3;-;66,25;;1010,3;80,91703778;55,33005868;69,89815839;71,76557316;8,5;300;15;340
12/01/2015;2015;1;12;28,7;33,1;29,4;29,975;33,7;26;3,6;61,25;;1010,7;70,9680937;58,07648645;75,41299607;68,85641748;6,958333333;300;15;340
13/01/2015;2015;1;13;26,5;26,3;26,5;26,45;31,3;25,2;3,5;8,75;;1011,1;88,0572461;88,78344428;84,21995598;87,27947311;6,208333333;120;18;320
14/01/2015;2015;1;14;26,2;34;29;28,85;34,2;26;TTU;67,5;;1011,8;87,97725282;55,49137136;77,96715514;77,35325803;5,666666667;160;16;330
15/01/2015;2015;1;15;26,8;31,4;29,2;28,55;33,2;25;2,8;40;;1011,4;85,84058786;63,80551855;73,95420075;77,36022375;4,958333333;10;14;290
16/01/2015;2015;1;16;26,2;34,5;29,8;29,175;35;25,3;24,5;98,75;;1011,2;84,88100432;48,60735549;71,61848532;72,49696236;6,333333333;300;18;330
17/01/2015;2015;1;17;25,8;29,8;27;27,1;33,2;25,6;0,4;51,25;;1010,9;91,83872887;70,30680463;82,89424883;84,2196278;6,625;300;19;310
18/01/2015;2015;1;18;26,6;31,9;26,6;27,925;32,8;24,8;17,7;35;;1011,1;88,85779949;64,75242725;88,85779949;82,83145643;5,041666667;160;21;310
19/01/2015;2015;1;19;26;30,9;27;27,475;31,4;23,6;72,8;7,5;;1011,8;87,14137534;67,78493553;84,39287508;81,61514032;7,833333333;300;19;200
20/01/2015;2015;1;20;24,3;28,7;28,5;26,45;30,3;24,3;-;0;;1012,9;90,72255276;73,00025131;78,43974735;83,22127605;4,958333333;300;9;340
21/01/2015;2015;1;21;26,1;31,1;29,7;28,25;31,8;25,7;TTU;15;;1014,6;87,17024344;67,91077011;75,5625772;79,45345855;4,666666667;10;9;350
22/01/2015;2015;1;22;26,4;33,4;28,4;28,65;33,6;25,5;8,6;78,75;;1014,2;86,4839416;57,19764321;76,28845132;76,61349444;6,375;300;15;310
23/01/2015;2015;1;23;26,1;33,8;26,2;28,05;33,8;25,1;9,6;87,5;;1012,7;89,51897197;59,71955506;88,75839269;81,87897293;5,75;300;15;330
24/01/2015;2015;1;24;26,1;33;25,6;27,7;34,3;25;19,9;90;;1012,4;90,30761063;61,40344674;91,80168144;83,45508736;6,833333333;300;19;180
25/01/2015;2015;1;25;26;33,6;27,1;28,175;34,3;24,5;14,3;97,5;;1012,4;91,07916412;59,57317208;90,51892629;83,06260665;6,583333333;300;15;340
26/01/2015;2015;1;26;25,2;31,8;29;27,8;32,3;25,2;-;60;;1011,6;86,90471336;64,08345159;76,5834689;78,6190868;7,541666667;300;14;310
27/01/2015;2015;1;27;26,7;34,6;25,2;28,3;35;24,4;18,5;90;;1010,7;88,10986642;55,43428549;96,65428976;82,07707702;6,875;300;18;340
28/01/2015;2015;1;28;25,6;34,1;26,5;27,95;34,3;24,1;106,9;90;;1009,7;91,80168144;57,73775663;89,61189042;82,73825248;7,291666667;300;16;150
29/01/2015;2015;1;29;26,3;33,8;26,3;28,175;34,5;25,2;6;82,5;;1009,5;89,56567996;57,5085522;89,56567996;81,55139802;6,666666667;10;16;330
30/01/2015;2015;1;30;26;33,1;28,2;28,325;33,2;24,9;9,7;73,75;;1010,7;90,28585167;59,20085086;77,59548509;79,34200982;7,625;300;16;340
31/01/2015;2015;1;31;25,9;25,9;25,6;25,825;28,5;24,2;11,3;0;;1010,7;88,68242504;87,8959598;93,41746229;89,66956804;4,25;300;15;330
01/02/2015;2015;2;1;24,8;32,1;28,8;27,625;32,3;24,8;0;88;TS;1011,8;93;65;75;81,5;6;U;14;340
