Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah
01/01/2015;2015;1;1;25,0;31,8;26,8;27,2;32,2;24,6;-;3,1;;1.007,9;88;56;83;79;3,0;180;9,0;360
02/01/2015;2015;1;2;26,0;30,0;26,8;27,2;32,5;25,5;-;2,4;;1.008,4;86;65;74;78;3,0;180;14,0;220
03/01/2015;2015;1;3;26,0;29,6;27,8;27,4;34,8;24,0;-;0,6;;1.008,6;79;61;63;71;3,0;140;9,0;220
04/01/2015;2015;1;4;25,4;31,8;28,2;27,7;32,8;24,8;ttu;5,6;;1.008,1;81;64;78;76;2,0;220;8,0;140
05/01/2015;2015;1;5;26,4;27,6;26,2;26,7;32,0;22,8;1,0;4,5;;1.008,3;83;79;87;83;2,0;220;5,0;180
06/01/2015;2015;1;6;26,4;31,8;28,4;28,3;33,5;23,0;-;7,3;;1.007,7;78;64;75;74;2,0;220;8,0;90
07/01/2015;2015;1;7;25,6;32,5;29,3;28,3;34,6;24,6;-;8;;1.007,8;72;58;64;67;3,0;270;7,0;90
08/01/2015;2015;1;8;25,8;33,4;30,0;28,8;34,1;24,8;-;5,1;;1.009,2;79;51;59;67;5,0;220;10,0;360
09/01/2015;2015;1;9;26,8;32,8;29,2;28,9;33,2;25,4;-;5,8;;1.008,6;78;53;70;70;3,0;360;8,0;180
10/01/2015;2015;1;10;26,6;31,6;29,0;28,5;32,8;25,2;-;2,7;;1.007,6;81;60;75;74;2,0;360;6,0;360
11/01/2015;2015;1;11;26,4;32,0;26,4;27,8;32,4;23,9;6,3;4;;1.009,6;84;58;81;77;3,0;360;12,0;90
12/01/2015;2015;1;12;25,6;29,4;26,0;26,7;30,6;24,0;1,5;2,6;;1.010,3;87;69;86;82;1,0;50;5,0;50
