Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah
01/01/2015;2015;1;1;27,9;29,5;28,2;28,375;29,9;24,6;26,9;3,75;;1009,1;80;76;80;79;4,699074074;270;18;90
02/01/2015;2015;1;2;27,3;25,1;27,3;26,75;29,4;24,6;71,7;3,75;;1009,7;82;94;84;85,5;5,601851852;270;20;250
03/01/2015;2015;1;3;24,6;26,9;26,9;25,75;27,8;23,4;49,2;0;;1010,9;94;84;85;89,25;5,648148148;270;26;250
04/01/2015;2015;1;4;26,3;29,7;27,8;27,525;30,4;24,6;2,5;11,25;;1009,4;88;76;80;83;4,652777778;270;27;300
05/01/2015;2015;1;5;27,3;29,3;28,2;28,025;30,4;25;13,1;16,25;;1008,5;86;71;82;81,25;3,958333333;270;12;270
06/01/2015;2015;1;6;25,7;26,4;26,3;26,025;28,7;23,6;30,6;0;;1008,7;93;92;94;93;2,986111111;315;23;280
07/01/2015;2015;1;7;26,5;25,9;26,8;26,425;27,2;24;14,7;0;;1008,6;89;92;90;90;3,287037037;315;15;250
08/01/2015;2015;1;8;26,8;29,7;28,7;28;30,7;24,4;23,8;45;;1010,3;88;72;82;82,5;5,069444444;270;14;290
09/01/2015;2015;1;9;27,8;30,5;28,5;28,65;30,9;24,6;-;55;;1009,8;90;77;79;84;5,416666667;315;15;290
10/01/2015;2015;1;10;28,5;31;28,6;29,15;31;26,2;2,3;91,25;;1009,6;81;72;81;78,75;5,277777778;315;21;280
11/01/2015;2015;1;11;28,4;31;28,4;29,05;31,4;26,6;1,2;100;;1010,2;80;72;83;78,75;4,143518519;270;13;300
12/01/2015;2015;1;12;28,1;30,9;28;28,775;31,5;25,5;6,4;60;;1010,8;81;75;80;79,25;4,351851852;315;16;290
13/01/2015;2015;1;13;26,1;25,4;27;26,15;30;24,2;27,3;5;;1010,5;90;93;90;90,75;2,685185185;315;11;230
14/01/2015;2015;1;14;26,3;29,2;27,5;27,325;29,6;24,2;6,6;43,75;;1012,2;87;77;85;84;4,884259259;270;19;250
15/01/2015;2015;1;15;26,3;28,5;24,8;26,475;29,8;24,2;11;6,25;;1011,5;90;77;93;87,5;3,75;315;13;280
16/01/2015;2015;1;16;26,8;30,5;26,4;27,625;30,8;24,4;15,2;57,5;;1011,2;87;66;90;82,5;3,657407407;270;11;270
17/01/2015;2015;1;17;26,1;29,2;27,8;27,3;30,8;25,4;8,3;62,5;;1010,6;93;76;83;86,25;4,652777778;270;24;260
