Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah;T07;T13;T18;T_Avg;T_Max;T_Min;Rain;Sun;Pressure;RH07;RH13;RH18;RH_Avg;WS_Avg;WD_Most;WS_Max;WD_Max;Tanggal_DT
;2015;1;13;;;;;;;;;TS;;;;;;;;;;26.2;25.2;25.4;25.75;30.4;24.9;8.0;11.25;1010.5;0.0;0.0;0.0;89.26592671;6.5;0.0;11.0;260.0;2015-01-13
;2015;1;14;;;;;;;;;TS;;;;;;;;;;25.8;32.1;27.5;27.8;32.5;24.5;16.1;61.25;1011.3;0.0;0.0;0.0;78.51134412;10.5;0.0;19.0;280.0;2015-01-14
;2015;1;15;;;;;;;;;;;;;;;;;;;26.6;30.2;29.9;28.325;31.6;25.2;0.0;52.5;1010.7;0.0;0.0;0.0;74.88505436;7.5;0.0;13.0;150.0;2015-01-15
;2015;1;16;;;;;;;;;TS;;;;;;;;;;26.2;31.8;25.4;27.4;32.5;24.9;0.0;80.0;1010.7;0.0;0.0;0.0;83.88338262;7.0;0.0;12.0;240.0;2015-01-16
;2015;1;17;;;;;;;;;TS;;;;;;;;;;26.0;31.0;25.8;27.2;32.6;24.8;31.5;75.0;1010.4;0.0;0.0;0.0;80.56344865;8.0;0.0;14.0;310.0;2015-01-17
;2015;1;18;;;;;;;;;TS;;;;;;;;;;26.1;30.7;25.4;27.075;32.1;25.0;1.2;31.25;1010.5;0.0;0.0;0.0;86.5799361;9.0;0.0;16.0;150.0;2015-01-18
;2015;1;19;;;;;;;;;TS;;;;;;;;;;26.0;30.4;24.1;26.625;30.8;23.6;24.0;7.5;1011.1;0.0;0.0;0.0;86.22829188;11.0;0.0;18.0;290.0;2015-01-19
;2015;1;20;;;;;;;;;;;;;;;;;;;24.7;28.5;28.2;26.525;30.8;23.3;41.5;6.25;1012.2;0.0;0.0;0.0;82.91384465;5.0;0.0;8.0;320.0;2015-01-20
;2015;1;21;;;;;;;;;;;;;;;;;;;25.8;31.0;29.5;28.025;31.3;24.2;0.0;35.0;1014.2;0.0;0.0;0.0;80.84697497;5.5;0.0;9.0;80.0;2015-01-21
;2015;1;22;;;;;;;;;TS;;;;;;;;;;25.4;32.3;23.3;26.6;32.4;24.8;1.0;31.25;1013.7;0.0;0.0;0.0;87.07498079;11.5;0.0;20.0;310.0;2015-01-22
;2015;1;23;;;;;;;;;TS;;;;;;;;;;25.5;31.8;23.6;26.6;33.0;22.2;33.8;72.5;1012.2;0.0;0.0;0.0;87.557148;6.5;0.0;10.0;200.0;2015-01-23
;2015;1;24;;;;;;;;;TS;;;;;;;;;;25.4;31.6;26.6;27.25;32.2;22.9;60.9;71.25;1011.8;0.0;0.0;0.0;86.01764054;12.5;0.0;22.0;200.0;2015-01-24
;2015;1;25;;;;;;;;;TS;;;;;;;;;;25.9;32.1;27.2;27.775;33.0;24.6;1.0;78.75;1011.8;0.0;0.0;0.0;81.41440724;7.5;0.0;12.0;190.0;2015-01-25
;2015;1;26;;;;;;;;;;;;;;;;;;;24.4;31.4;29.0;27.3;32.2;23.4;1.3;85.0;1011.0;0.0;0.0;0.0;77.29225141;9.5;0.0;15.0;270.0;2015-01-26
;2015;1;27;;;;;;;;;TS;;;;;;;;;;27.0;32.7;24.1;27.7;33.2;24.4;0.0;83.75;1010.0;0.0;0.0;0.0;83.60666419;7.5;0.0;12.0;260.0;2015-01-27
