Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah;
01/01/2015;2015;1;1;25,8;32,6;28,8;28,3;32,8;24,4;10,6;0;;1008,6;90;65;86;83;3;320;12;260;
02/01/2015;2015;1;2;25,4;31,8;28,2;27,7;32,6;24,8;4,5;0;;1008,9;95;69;85;86;11;320;23;300;
03/01/2015;2015;1;3;26;29,8;27,8;27,4;30,8;25,4;-;0;;1009,4;89;78;84;85;6;320;23;280;
04/01/2015;2015;1;4;26;31,6;28,8;28,1;32,6;25;5;0;;1009;89;68;83;82;4;270;13;260;
05/01/2015;2015;1;5;26;31,4;26;27,4;33,2;24,4;4;0;;1008,8;89;74;90;85;3;130;12;190;
06/01/2015;2015;1;6;25,6;32;28,6;28;32,4;25,2;-;0;;1008,6;93;65;85;84;3;270;17;330;
07/01/2015;2015;1;7;27,2;32,4;28,8;28,9;33,4;26,4;-;0;;1008,8;91;66;85;83;3;320;11;310;
08/01/2015;2015;1;8;26,8;32;29,6;28,8;33,4;26,2;-;0;;1009,9;89;73;84;84;7;320;16;300;
09/01/2015;2015;1;9;26,4;33;29;28,7;33,2;26,2;-;0;;1009,6;81;57;82;75;8;320;20;300;
10/01/2015;2015;1;10;27,6;32,4;29,2;29,2;32,8;24,8;1,9;0;;1009;86;63;82;79;11;320;23;310;
11/01/2015;2015;1;11;25,2;29;28,8;27,1;32,2;25;-;0;;1010,3;92;78;82;86;5;320;20;140;
12/01/2015;2015;1;12;26,2;31;29;28,1;31,4;25,4;4,3;0;;1010,9;89;66;82;81;7;320;18;300;
13/01/2015;2015;1;13;25,8;27,8;26,2;26,4;31,4;25;12,1;0;;1010,9;92;88;90;90;3;270;26;320;
14/01/2015;2015;1;14;25,8;31;28;27,7;32,6;25,4;4,4;0;;1011,6;93;72;85;86;4;320;27;310;
15/01/2015;2015;1;15;26;32;29;28,3;32,8;25,4;-;0;;1011,2;93;70;82;85;3;270;15;250;
16/01/2015;2015;1;16;27,2;31,2;27,2;28,2;34;24,8;21,4;0;;1011,2;87;73;84;83;3;270;24;290;
17/01/2015;2015;1;17;26;26;25,4;25,9;30,6;24,6;52,5;0;;1010,9;95;95;98;96;4;270;21;270;
18/01/2015;2015;1;18;25,2;29,4;27,2;26,8;30,4;24,8;7,2;0;;1010,7;95;82;90;91;4;270;15;240;
19/01/2015;2015;1;19;25,6;29,8;28,2;27,3;30,6;24,8;2,2;0;;1011,7;93;76;86;87;5;320;21;260;
20/01/2015;2015;1;20;25;29,6;27,2;26,7;32,8;24,8;-;0;;1013;93;75;87;87;3;320;17;310;
21/01/2015;2015;1;21;26,2;29,4;29;27,7;31,4;25;-;0;;1015,1;90;78;85;86;0;0;0;0;
22/01/2015;2015;1;22;26,2;28,4;29,2;27,5;32,4;22,4;TTU;0;;1013,7;93;82;85;88;4;320;15;360;
23/01/2015;2015;1;23;25,2;30,4;27,2;27;32,4;24,2;9,6;0;;1012,8;93;79;94;90;2;270;13;260;
24/01/2015;2015;1;24;26;32,8;28,8;28,4;33;24,8;-;0;;1012,2;92;71;85;85;3;320;13;300;
25/01/2015;2015;1;25;25,4;30;28,8;27,4;32;24,8;6,5;0;;1012,1;92;80;85;87;6;320;16;320;
26/01/2015;2015;1;26;26;30,4;27,6;27,5;31;25,4;TTU;0;;1011,3;92;75;84;86;5;320;24;300;
27/01/2015;2015;1;27;26,2;32;29,2;28,4;32,6;24,6;-;0;;1011;90;69;81;83;6;320;17;300;
28/01/2015;2015;1;28;26;32,6;29,6;28,6;33,4;24,6;26,5;0;;1009,5;89;69;85;83;4;320;20;300;
29/01/2015;2015;1;29;26;29;28,2;27,3;32;24,6;21,7;0;;1009,5;93;78;87;88;4;320;10;330;
30/01/2015;2015;1;30;25,8;30;27,8;27,4;31;25,2;1,8;0;;1010,7;95;80;88;89;4;320;16;300;
31/01/2015;2015;1;31;26,2;26,2;26,2;26,2;26,6;23,8;9;0;;1011,4;92;90;92;91;3;320;23;310;
01/02/2015;2015;2;1;25;31,2;24,8;26,5;31,4;23,6;29,3;0;;1012,1;95;76;98;91;5;CALM;18;230;
02/02/2015;2015;2;2;25,2;31,2;28,2;27,5;32,2;24,5;-;0;;1012,4;97;74;87;88;2;CALM;13;350;
03/02/2015;2015;2;3;25,2;31,4;29,6;27,9;32;23,7;12,2;0;;1012,7;95;72;83;86;3;CALM;19;270;
04/02/2015;2015;2;4;25,6;31,8;29,4;28,1;33;24,2;-;0;;1012,4;95;75;83;87;3;CALM;15;290;
05/02/2015;2015;2;5;25,8;30,6;29,6;28;32,4;24;TTU;0;;1012,3;93;75;82;86;5;B;11;290;
06/02/2015;2015;2;6;25,8;29;27,6;27,1;32;24,6;22,8;0;;1011,8;95;71;92;88;3;CALM;23;330;
07/02/2015;2015;2;7;25,5;31,2;28,4;27,7;31,4;24,4;-;0;;1011,6;95;72;89;88;2;CALM;9;320;
08/02/2015;2015;2;8;25,2;28;29,2;26,9;31;24,6;1,8;0;;1012,9;95;80;85;89;1;CALM;11;30;
09/02/2015;2015;2;9;25,2;30,2;28,4;27,3;32,1;24,6;-;0;;1012,9;95;80;90;90;3;CALM;15;100;
10/02/2015;2015;2;10;25,6;32,6;30;28,5;33,4;25,4;-;0;;1011,8;94;69;81;85;4;CALM;17;320;
11/02/2015;2015;2;11;27,6;32,2;28,8;29,1;33,4;25;3,7;0;;1010;86;69;85;81;5;BL;16;300;
12/02/2015;2015;2;12;25,6;30,4;27,6;27,3;31,4;25;-;0;;1010,2;92;75;86;86;5;CALM;19;310;
13/02/2015;2015;2;13;25,8;30,2;28,8;27,7;30,6;25,2;0,8;0;;1010,6;93;77;83;87;5;CALM;20;320;
14/02/2015;2015;2;14;27;25,4;26,8;26,6;32,6;24,4;16,1;0;;1011,4;89;90;92;90;3;CALM;17;280;
15/02/2015;2015;2;15;25,4;31,6;29,4;28;32,6;25,4;-;0;;1011,3;90;71;82;83;2;CALM;9;190;
16/02/2015;2015;2;16;26,6;28,8;29,2;27,8;32,2;25;20,1;0;;1010,4;90;79;85;86;3;CALM;22;360;
