Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah
01/01/2015;2015;1;1;25,6;33,6;26,2;27,75;34;25,2;1;18,75;;1008,5;85;54;89;78,25;5;270;14;230
02/01/2015;2015;1;2;25,8;32;25;27,15;33,4;23,8;20,1;72,5;;1009;92;62;90;84;9;270;24;280
03/01/2015;2015;1;3;25,6;29,4;28,2;27,2;30,4;25;47,7;63,75;;1010;89;80;82;85;8;270;16;280
04/01/2015;2015;1;4;25,8;32,4;28,8;28,2;33,2;24,8;0,8;0;;1009;89;61;64;75,75;7;270;15;180
05/01/2015;2015;1;5;25,6;33,6;27,4;28,05;34,2;24,6;10,2;68,75;;1009;93;56;86;82;7;270;18;290
06/01/2015;2015;1;6;26,8;33,6;29,7;29,225;33,8;24,6;32,8;92,5;;1008,2;89;46;69;73,25;5;270;19;210
07/01/2015;2015;1;7;26;33;31,4;29,1;34,2;26;-;65;;1008,5;81;57;70;72,25;7;270;18;290
08/01/2015;2015;1;8;27;33,4;30,2;29,4;34,6;26,3;-;88,75;;1009,9;86;56;74;75,5;9;270;18;300
09/01/2015;2015;1;9;26,8;33,6;30,4;29,4;34;25,8;-;77,5;;1009,8;77;49;66;67,25;18;270;18;310
10/01/2015;2015;1;10;27,9;34;30,8;30,15;34,8;26,2;-;45;;1008,8;64;42;66;59;9;270;18;300
11/01/2015;2015;1;11;27;33,3;29,9;29,3;33,8;26,8;-;100;;1010,2;81;55;70;71,75;7;270;16;310
12/01/2015;2015;1;12;27;32,4;29,8;29,05;32,9;25,6;-;40;;1010,5;81;60;72;73,5;4;270;18;300
13/01/2015;2015;1;13;26,2;26;26,8;26,3;31;25;3,3;45;;1010,9;90;90;83;88,25;8;270;21;310
14/01/2015;2015;1;14;26,2;32,5;27,8;28,175;33;25,2;3,6;3,75;;1011;89;61;80;79,75;8;270;19;310
15/01/2015;2015;1;15;26,4;32,6;29,8;28,8;32,8;24,5;0,6;72,5;;1011,1;80;58;70;72;5;270;14;210
16/01/2015;2015;1;16;26,4;34;28,8;28,9;34,8;25,2;0,4;53,75;;1010,8;84;49;74;72,75;7;270;12;200
17/01/2015;2015;1;17;26,6;29,6;26,8;27,4;32,7;25,8;17,9;100;;1010,9;87;70;75;79,75;9;270;25;310
18/01/2015;2015;1;18;26,2;31,3;25,6;27,325;32,6;24,6;0;51,25;;1011;90;67;93;85;8;270;19;300
19/01/2015;2015;1;19;26,1;30,6;25;26,95;31,6;23,6;21;32,5;;1011,1;87;68;92;83,5;8;270;27;280
20/01/2015;2015;1;20;24;28,2;28,4;26,15;29,6;24;139,6;12,5;;1012,9;93;73;76;83,75;5;270;11;290
21/01/2015;2015;1;21;25,7;30,9;29,2;27,875;31,6;25,2;0.0;0;;1014,2;92;66;77;81,75;4;270;11;310
22/01/2015;2015;1;22;25,6;32,5;27,2;27,725;32,7;25,1;0.0;2,5;;1014,2;90;58;81;79,75;7;270;18;310
23/01/2015;2015;1;23;25,6;32,4;26;27,4;32,6;24,8;5;80;;1012,6;92;60;89;83,25;8;270;16;190
24/01/2015;2015;1;24;25,8;32;25,4;27,25;33,4;24,8;5,1;87,5;;1012,5;0;64;92;39;8;270;22;200
25/01/2015;2015;1;25;25,8;32,6;26,2;27,6;33,2;23,6;34,3;92,5;;1012,2;93;60;90;84;6;270;21;210
26/01/2015;2015;1;26;24,5;31,9;29;27,475;32,4;24,5;15,3;92,5;;1011,1;91;65;77;81;7;270;15;300
27/01/2015;2015;1;27;26,3;33,4;26,3;28,075;34,8;24;-;50;;1010,6;90;59;91;82,5;8;270;19;320
28/01/2015;2015;1;28;25,2;32,8;25;27,05;33,2;24,6;29,1;87,5;;1009,5;93;61;93;85;6;270;16;300
29/01/2015;2015;1;29;26,2;33,2;25,4;27,75;33,8;24,6;83,4;76,25;;1009,8;90;59;89;82;8;270;18;300
30/01/2015;2015;1;30;25,6;32,5;28,8;28,125;33,6;25;28,8;82,5;;1010,6;87;63;81;79,5;6;270;19;230
31/01/2015;2015;1;31;25,6;25,6;25,6;25,6;29,7;24,2;3,4;0;;1010,6;90;90;93;90,75;Calm;270;12;210
01/02/2015;2015;2;1;25,2;31,4;28,6;27,6;32;25;9,3;0;;1011,5;93,35706611;67,47725212;76,38781868;82,64480076;8,2;270;15;320
02/02/2015;2015;2;2;25,5;32,6;25,4;27,25;33,4;24,4;0.0;81,25;;1012,4;87,78549878;59,96283495;90,15280439;81,42165922;5;270;15;260
