Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah
01/08/2016;2016;8;1;#REF!;30,5;28,8;#REF!;30,8;#REF!;5;0;;#REF!;100;64;71;84;5;50;7;0
02/08/2016;2016;8;2;24,0;29,7;29,2;26,7;30,6;23,8;-;0;;1009,2;83;63;63;73;5;200;12;0
03/08/2016;2016;8;3;23,8;31,0;29,4;27,0;33,0;23,8;0;100;;1009,3;83;61;70;74;5;190;10;0
04/08/2016;2016;8;4;24,3;31,2;29,2;27,3;31,2;24,3;0;100;;1010,2;90;67;76;81;6;70;10;0
05/08/2016;2016;8;5;26,0;30,8;29,0;28,0;31,2;24,8;-;100;;1010,7;86;71;77;80;6;90;10;0
06/08/2016;2016;8;6;24,8;30,8;29,2;27,4;31,2;22,9;62;100;;1010,7;95;70;75;84;7;40;11;0
07/08/2016;2016;8;7;23,8;28,4;29,2;26,3;30,2;23,8;-;33;;1011,2;97;84;73;87;5;80;11;0
08/08/2016;2016;8;8;25,0;30,6;29,0;27,4;35,4;25,0;5;95;;1011,2;93;75;77;84;6;70;9;0
09/08/2016;2016;8;9;25,8;30,4;29,0;27,8;30,9;23,4;-;100;;1011,0;92;72;77;83;5;60;9;0
10/08/2016;2016;8;10;23,8;30,5;29,0;26,8;30,8;23,2;1;100;;1011,2;93;70;77;83;4;40;10;0
11/08/2016;2016;8;11;23,2;31,4;29,8;26,9;31,4;23,2;-;100;;1011,5;91;59;69;78;4;190;7;0
12/08/2016;2016;8;12;24,6;31,6;29,5;27,6;31,8;24,6;5;100;;1011,0;88;68;77;80;4;90;8;0
13/08/2016;2016;8;13;24,8;29,6;29,0;27,1;30,0;24,8;5;63;;1010,6;95;71;75;84;4;170;10;0
14/08/2016;2016;8;14;25,2;30,4;28,0;27,2;31,6;24,6;0;78;;1010,3;88;67;80;81;4;90;9;0
15/08/2016;2016;8;15;25,0;30,6;29,0;27,4;31,4;24,6;2;100;;1010,4;92;69;75;82;9;50;99;0
16/08/2016;2016;8;16;24,8;30,6;28,8;27,3;31,4;24,2;-;100;;1010,3;93;71;75;83;7;60;12;0
17/08/2016;2016;8;17;24,6;30,8;29,0;27,3;32,4;24,4;-;100;;1010,2;95;72;77;85;7;60;12;0
18/08/2016;2016;8;18;24,8;31,2;30,2;27,8;31,4;23,8;-;100;;1009,2;92;65;65;78;5;30;9;0
19/08/2016;2016;8;19;23,8;30,0;29,0;26,7;30,8;23,2;-;100;;1009,2;85;68;71;77;4;190;9;0
20/08/2016;2016;8;20;23,2;30,6;29,0;26,5;31,2;21,8;-;100;;1009,6;86;62;66;75;5;190;10;0
21/08/2016;2016;8;21;22,2;30,4;29,2;26,0;30,7;22,2;-;100;;1009,6;93;62;71;80;4;180;9;0
22/08/2016;2016;8;22;24,8;32,2;28,6;27,6;32,7;21,2;-;100;;1009,3;74;47;67;66;5;#N/A;9;0
23/08/2016;2016;8;23;21,2;30,0;28,4;25,2;30,6;21,2;-;100;;1008,5;96;67;75;83;7;50;12;0
24/08/2016;2016;8;24;23,2;30,2;29,0;26,4;30,8;23,2;16;100;;1008,2;90;65;72;79;6;50;10;0
25/08/2016;2016;8;25;25,0;30,8;29,0;27,5;30,9;23,8;0;16;;1009,4;88;63;74;78;5;30;9;0
26/08/2016;2016;8;26;24,0;30,4;29,0;26,9;30,8;24,0;-;100;;1010,5;93;65;75;82;7;50;12;0
27/08/2016;2016;8;27;25,7;30,4;29,0;27,7;31,2;25,7;-;100;;1011,2;95;75;81;86;7;90;12;0
28/08/2016;2016;8;28;26,8;30,6;29,1;28,3;31,0;25,5;-;100;;1011,2;90;67;75;81;7;90;13;0
29/08/2016;2016;8;29;26,0;30,4;29,2;27,9;31,1;25,4;-;100;;1010,5;92;69;73;81;6;150;11;0
30/08/2016;2016;8;30;26,6;31,0;29,0;28,3;31,2;24,6;-;100;;1010,8;87;63;74;78;6;50;15;0
31/08/2016;2016;8;31;24,8;30,6;29,0;27,3;31,0;#REF!;-;0;;1011,8;94;68;74;83;6;70;10;0
01/09/2016;2016;9;1;26,2;30,4;29,4;28,1;30,9;24,6;7;100;;#REF!;100;71;77;87;5;90;10;0
02/09/2016;2016;9;2;25,0;30,9;29,4;27,6;31,2;24,0;10;100;;1010,3;88;65;75;79;4;90;8;0
03/09/2016;2016;9;3;24,2;30,0;29,0;26,9;30,6;24,2;1;100;;1010,3;97;72;75;85;5;50;12;0
04/09/2016;2016;9;4;25,2;30,4;29,0;27,5;31,0;25,2;-;100;;1011,2;96;68;71;83;5;50;10;0
05/09/2016;2016;9;5;25,2;30,6;28,8;27,5;31,2;24,8;-;100;;1011,9;93;68;74;82;6;70;14;0
06/09/2016;2016;9;6;26,4;30,6;29,0;28,1;30,8;24,8;-;100;;1012,1;87;69;71;79;6;50;10;0
07/09/2016;2016;9;7;25,0;31,2;29,5;27,7;31,2;24,4;-;100;;1011,7;90;70;71;80;7;100;15;0
08/09/2016;2016;9;8;24,6;31,4;29,4;27,5;32,0;23,8;-;100;;1011,8;93;62;69;79;5;170;13;0
09/09/2016;2016;9;9;24,6;31,4;29,2;27,5;32,2;23,6;-;100;;1011,8;90;66;74;80;6;170;12;0
10/09/2016;2016;9;10;24,2;31,2;29,2;27,2;32,0;23,8;-;98;;1010,6;88;66;75;79;4;160;10;0
11/09/2016;2016;9;11;23,8;32,2;29,4;27,3;32,8;23,8;-;100;;1009,7;88;55;71;76;5;190;9;0
12/09/2016;2016;9;12;24,4;32,8;29,2;27,7;33,4;23,6;1;85;;1010,4;82;43;71;69;4;180;7;0
13/09/2016;2016;9;13;24,6;31,6;29,2;27,5;31,8;23,8;-;100;;1010,8;76;50;66;67;6;180;11;0
14/09/2016;2016;9;14;23,8;30,6;29,0;26,8;31,4;23,8;-;100;;1010,2;91;66;72;80;6;180;12;0
15/09/2016;2016;9;15;24,7;31,4;29,4;27,6;31,6;24,7;0;100;;1010,3;90;63;73;79;10;60;99;0
16/09/2016;2016;9;16;25,8;30,4;29,2;27,8;31,3;25,8;-;100;;1009,5;89;73;77;82;7;40;11;0
17/09/2016;2016;9;17;27,4;31,2;29,6;28,9;31,4;25,3;6;100;;1009,6;83;67;73;77;6;50;11;0
18/09/2016;2016;9;18;25,6;31,0;29,0;27,8;31,3;25,4;0;100;;1009,6;92;68;75;82;5;70;9;0
19/09/2016;2016;9;19;25,8;31,0;29,0;27,9;31,4;25,6;-;100;;1008,7;92;68;77;82;5;40;10;0
20/09/2016;2016;9;20;26,6;30,8;29,0;28,3;31,2;25,4;-;100;;1008,8;87;68;77;80;4;60;8;0
21/09/2016;2016;9;21;26,2;31,4;29,0;28,2;31,9;26,0;-;84;;1009,9;89;69;77;81;6;60;10;0
22/09/2016;2016;9;22;26,0;30,7;29,4;28,0;31,2;25,1;-;100;;1010,1;91;69;73;81;4;50;9;0
23/09/2016;2016;9;23;25,4;31,1;29,8;27,9;31,5;24,8;17;100;;1008,9;92;69;71;81;5;50;11;0
24/09/2016;2016;9;24;25,0;30,0;27,4;26,9;31,0;24,2;0;59;;1008,6;93;73;79;85;#N/A;200;#N/A;0
25/09/2016;2016;9;25;24,9;30,5;29,0;27,3;31,0;23,8;0;94;;1008,6;89;69;75;81;5;160;10;0
26/09/2016;2016;9;26;26,0;31,0;28,2;27,8;31,8;24,8;-;75;;1009,4;90;66;75;80;5;60;9;0
